Url,BathroomCount,BedroomCount,ConstructionYear,District,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
https://www.immoweb.be/en/classified/house/for-sale/affligem/1790/10949327,2.0,4,1957.0,13.0,8.0,0.0,0.0,0.0,2.0,145.0,0.0,3.0,3.0,1790,200000,10949327,6,0,0.0,0.0,1.0,16,108.0,0.0,1.0,3.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10949292,1.0,5,2024.0,6.0,8.0,0.0,1.0,85.0,6.0,292.0,0.0,2.0,14.0,1180,794000,10949292,3,2,0.0,2.0,3.0,11,210.0,0.0,1.0,2.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10949265,1.0,2,2022.0,6.0,8.0,0.0,1.0,32.0,6.0,98.0,0.0,2.0,13.0,1180,415000,10949265,3,2,0.0,0.0,3.0,10,0.0,0.0,0.0,2.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/koksijde-sint-idesbald/8670/10949198,1.0,1,0.0,38.0,8.0,0.0,0.0,0.0,4.0,52.0,0.0,0.0,14.0,8670,295000,10949198,0,0,0.0,1.0,3.0,20,0.0,0.0,1.0,1.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/courcelles/6180/10949150,2.0,2,1971.0,7.0,8.0,0.0,0.0,0.0,2.0,166.0,0.0,3.0,0.0,6180,150000,10949150,1,1,0.0,2.0,0.0,21,392.0,0.0,1.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/charleroi-mont-sur-marchienne/6032/10949148,1.0,3,1918.0,7.0,8.0,0.0,1.0,245.0,0.0,170.0,0.0,2.0,10.0,6032,199900,10949148,1,1,0.0,1.0,3.0,11,409.0,0.0,1.0,3.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/aywaille/4920/10948896,1.0,3,2024.0,18.0,8.0,0.0,0.0,0.0,0.0,169.0,0.0,3.0,15.0,4920,337000,10948896,9,1,0.0,0.0,3.0,11,500.0,0.0,1.0,2.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/10948794,1.0,2,1978.0,26.0,8.0,0.0,0.0,0.0,4.0,95.0,0.0,2.0,13.0,9700,187000,10948794,7,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/nieuwerkerken/3850/10948417,1.0,4,2010.0,14.0,8.0,0.0,0.0,0.0,4.0,238.0,0.0,4.0,13.0,3850,529000,10948417,2,0,0.0,2.0,3.0,11,1560.0,0.0,0.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/dinant/5500/10948397,1.0,4,1967.0,10.0,8.0,0.0,1.0,500.0,2.0,150.0,0.0,4.0,0.0,5500,275000,10948397,8,1,0.0,1.0,1.0,23,985.0,0.0,1.0,1.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/braine-l-alleud/1420/10947348,2.0,2,2007.0,24.0,8.0,0.0,0.0,0.0,4.0,85.0,0.0,2.0,11.0,1420,265000,10947348,4,1,0.0,0.0,3.0,0,0.0,0.0,1.0,2.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/braine-l-alleud/1420/10947324,1.0,2,2005.0,24.0,8.0,0.0,0.0,0.0,4.0,80.0,0.0,3.0,13.0,1420,265000,10947324,4,1,0.0,0.0,5.0,0,0.0,0.0,0.0,1.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10946836,1.0,0,2025.0,6.0,8.0,0.0,0.0,0.0,6.0,50.0,0.0,2.0,13.0,1200,264000,10946836,3,2,0.0,0.0,3.0,9,0.0,0.0,0.0,1.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/10946840,2.0,5,1974.0,13.0,8.0,0.0,1.0,700.0,4.0,317.0,0.0,4.0,10.0,1950,1390000,10946840,6,0,0.0,1.0,1.0,23,1917.0,1.0,1.0,3.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/la-hulpe/1310/10946802,2.0,3,1974.0,24.0,8.0,0.0,1.0,779.0,6.0,160.0,0.0,4.0,10.0,1310,485000,10946802,4,1,0.0,1.0,1.0,23,779.0,0.0,1.0,2.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/veldegem/8210/10946197,1.0,2,2022.0,5.0,8.0,0.0,0.0,0.0,6.0,80.0,0.0,0.0,14.0,8210,276834,10946197,0,0,8.0,0.0,3.0,0,0.0,0.0,1.0,0.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/veldegem/8210/10946196,1.0,2,2022.0,5.0,8.0,0.0,0.0,0.0,6.0,80.0,0.0,0.0,14.0,8210,246308,10946196,0,0,9.0,0.0,3.0,0,0.0,0.0,1.0,0.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/herzele/9550/10945507,1.0,1,1958.0,0.0,8.0,0.0,0.0,0.0,2.0,104.0,0.0,0.0,13.0,9550,218000,10945507,7,0,0.0,0.0,3.0,0,0.0,0.0,1.0,1.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/oud-turnhout/2360/10945515,2.0,4,1986.0,37.0,8.0,0.0,0.0,0.0,4.0,375.0,0.0,4.0,11.0,2360,695000,10945515,5,0,0.0,0.0,3.0,23,1700.0,0.0,1.0,3.0,1,0
